user_pseudo_id,event_time,platform,action,action_group,source,medium,staytime,has_shared,revisit_count
user_021,2024-09-01 10:56:00,Web,進入首頁,我的保險試算結果,Direct,Referral,89,0,1
user_031,2024-09-01 10:58:00,iOS,瀏覽商品頁,完成網路投保,Facebook,CPC,57,0,3
user_023,2024-09-01 11:00:00,Android,進入試算,挑選預約顧問,Email,CPC,57,1,0
user_034,2024-09-01 11:02:00,iOS,進入試算,試算壽險方案,Google,Organic,120,0,1
user_022,2024-09-01 11:04:00,Android,檢視試算結果,完成網路投保,Direct,Organic,42,0,4
user_034,2024-09-01 11:06:00,Web,預約顧問,試算壽險方案,Facebook,Referral,7,0,2
user_045,2024-09-01 11:08:00,iOS,完成投保,試算壽險方案,Google,CPC,11,0,1
user_032,2024-09-01 11:10:00,Web,保存試算結果,完成網路投保,Direct,Referral,120,1,0
user_050,2024-09-01 11:12:00,Web,瀏覽商品頁,商品資訊頁,Email,Organic,44,0,2
user_013,2024-09-01 11:14:00,Web,點擊優惠,其他,Email,CPC,29,1,2
user_031,2024-09-01 11:16:00,iOS,進入試算,我的保險試算結果,Facebook,CPC,33,1,0
user_001,2024-09-01 11:18:00,iOS,瀏覽商品頁,商品資訊頁,Email,Referral,19,0,2
user_034,2024-09-01 11:20:00,Android,進入首頁,完成網路投保,Email,Organic,14,1,1
user_018,2024-09-01 11:22:00,iOS,點擊優惠,立即投保,Facebook,Referral,43,0,0
user_010,2024-09-01 11:24:00,Android,進入首頁,好康優惠,Direct,Referral,15,1,1
user_010,2024-09-01 11:26:00,Web,進入首頁,商品資訊頁,Direct,Organic,50,0,0
user_003,2024-09-01 11:28:00,iOS,立即投保,其他,Email,CPC,24,1,2
user_026,2024-09-01 11:30:00,Web,完成投保,我的保險試算結果,Google,CPC,10,0,0
user_013,2024-09-01 11:32:00,Android,預約顧問,好康優惠,Direct,Organic,27,1,2
user_042,2024-09-01 11:34:00,Web,預約顧問,試算壽險方案,Google,CPC,55,1,1
user_048,2024-09-01 11:36:00,Web,立即投保,其他,Facebook,Organic,13,0,0
user_049,2024-09-01 11:38:00,Android,立即投保,試算壽險方案,Facebook,Organic,15,1,5
user_043,2024-09-01 11:40:00,Android,檢視試算結果,立即投保,Direct,Referral,36,1,2
user_006,2024-09-01 11:42:00,Android,點擊優惠,好康優惠,Direct,Organic,44,0,2
user_027,2024-09-01 11:44:00,iOS,立即投保,商品資訊頁,Email,CPC,32,0,2
user_036,2024-09-01 11:46:00,Android,檢視試算結果,挑選預約顧問,Direct,CPC,18,1,3
user_023,2024-09-01 11:48:00,Android,完成投保,我的保險試算結果,Google,Referral,46,0,5
user_048,2024-09-01 11:50:00,Android,進入首頁,好康優惠,Google,CPC,100,1,2
user_009,2024-09-01 11:52:00,Web,完成投保,其他,Facebook,CPC,99,1,4
user_005,2024-09-01 11:54:00,Web,點擊優惠,我的保險試算結果,Email,Organic,43,0,4
user_003,2024-09-01 11:56:00,Web,預約顧問,立即投保,Facebook,CPC,14,0,0
user_024,2024-09-01 11:58:00,iOS,預約顧問,立即投保,Direct,Organic,40,0,5
user_012,2024-09-01 12:00:00,Web,立即投保,完成網路投保,Google,Organic,55,0,0
user_046,2024-09-01 12:02:00,Android,瀏覽商品頁,我的保險試算結果,Facebook,Organic,9,0,0
user_050,2024-09-01 12:04:00,iOS,檢視試算結果,我的保險試算結果,Email,Organic,12,1,3
user_043,2024-09-01 12:06:00,Android,預約顧問,其他,Google,CPC,105,1,0
user_047,2024-09-01 12:08:00,Web,點擊優惠,保存與分享試算結果,Direct,CPC,16,0,3
user_017,2024-09-01 12:10:00,iOS,預約顧問,其他,Email,CPC,66,1,1
user_023,2024-09-01 12:12:00,Android,立即投保,試算壽險方案,Direct,CPC,82,0,4
user_006,2024-09-01 12:14:00,Android,預約顧問,其他,Google,Organic,85,1,1
user_025,2024-09-01 12:16:00,iOS,瀏覽商品頁,好康優惠,Direct,Organic,78,0,5
user_028,2024-09-01 12:18:00,Android,瀏覽商品頁,好康優惠,Facebook,Organic,47,1,3
user_027,2024-09-01 12:20:00,Web,完成投保,我的保險試算結果,Direct,CPC,30,1,5
user_012,2024-09-01 12:22:00,Web,保存試算結果,好康優惠,Google,CPC,96,1,5
user_024,2024-09-01 12:24:00,Web,保存試算結果,試算壽險方案,Facebook,Referral,71,0,0
user_044,2024-09-01 12:26:00,Android,保存試算結果,保存與分享試算結果,Direct,Referral,107,0,2
user_017,2024-09-01 12:28:00,Web,完成投保,商品資訊頁,Email,Referral,24,0,3
user_017,2024-09-01 12:30:00,Web,立即投保,完成網路投保,Email,Organic,6,1,2
user_048,2024-09-01 12:32:00,iOS,瀏覽商品頁,其他,Email,Referral,20,1,3
user_043,2024-09-01 12:34:00,Web,保存試算結果,完成網路投保,Google,Organic,39,0,0
user_039,2024-09-01 12:36:00,Android,點擊優惠,挑選預約顧問,Direct,Referral,95,0,3
user_046,2024-09-01 12:38:00,iOS,完成投保,好康優惠,Direct,Referral,42,0,4
user_013,2024-09-01 12:40:00,iOS,保存試算結果,挑選預約顧問,Direct,Organic,54,1,0
user_034,2024-09-01 12:42:00,Android,進入首頁,試算壽險方案,Facebook,Referral,88,1,2
user_042,2024-09-01 12:44:00,Web,瀏覽商品頁,挑選預約顧問,Email,CPC,50,0,2
user_050,2024-09-01 12:46:00,Android,立即投保,立即投保,Google,CPC,89,0,2
user_043,2024-09-01 12:48:00,Android,進入首頁,商品資訊頁,Facebook,CPC,74,0,2
user_050,2024-09-01 12:50:00,Android,進入試算,商品資訊頁,Facebook,Referral,79,1,2
user_006,2024-09-01 12:52:00,Android,預約顧問,商品資訊頁,Google,CPC,56,1,4
user_043,2024-09-01 12:54:00,Web,檢視試算結果,完成網路投保,Email,Organic,53,0,1
user_015,2024-09-01 12:56:00,Android,進入試算,保存與分享試算結果,Google,Organic,113,0,5
user_020,2024-09-01 12:58:00,iOS,檢視試算結果,立即投保,Direct,Organic,48,0,3
user_011,2024-09-01 13:00:00,Android,保存試算結果,挑選預約顧問,Facebook,Referral,114,0,1
user_007,2024-09-01 13:02:00,Android,進入試算,試算壽險方案,Google,Organic,24,0,0
user_040,2024-09-01 13:04:00,Android,進入首頁,我的保險試算結果,Direct,Organic,62,1,0
user_016,2024-09-01 13:06:00,Android,預約顧問,商品資訊頁,Direct,Organic,29,0,5
user_001,2024-09-01 13:08:00,iOS,保存試算結果,商品資訊頁,Facebook,Referral,112,1,5
user_039,2024-09-01 13:10:00,Android,保存試算結果,完成網路投保,Email,CPC,100,1,4
user_028,2024-09-01 13:12:00,iOS,保存試算結果,立即投保,Facebook,Organic,26,1,0
user_009,2024-09-01 13:14:00,iOS,保存試算結果,保存與分享試算結果,Email,Organic,88,1,5
user_033,2024-09-01 13:16:00,iOS,完成投保,立即投保,Facebook,Organic,13,1,3
user_002,2024-09-01 13:18:00,iOS,檢視試算結果,完成網路投保,Facebook,Referral,106,0,0
user_040,2024-09-01 13:20:00,iOS,立即投保,立即投保,Email,CPC,80,1,3
user_047,2024-09-01 13:22:00,Android,保存試算結果,保存與分享試算結果,Email,Referral,78,1,1
user_045,2024-09-01 13:24:00,Android,點擊優惠,立即投保,Google,Organic,98,0,0
user_034,2024-09-01 13:26:00,Web,進入首頁,試算壽險方案,Direct,Organic,90,1,3
user_010,2024-09-01 13:28:00,Android,檢視試算結果,商品資訊頁,Google,Referral,11,1,0
user_049,2024-09-01 13:30:00,iOS,預約顧問,我的保險試算結果,Facebook,Organic,114,1,5
user_009,2024-09-01 13:32:00,Android,預約顧問,試算壽險方案,Email,Organic,71,0,1
user_027,2024-09-01 13:34:00,Android,瀏覽商品頁,好康優惠,Direct,Organic,12,1,1
user_018,2024-09-01 13:36:00,iOS,瀏覽商品頁,挑選預約顧問,Facebook,Referral,61,1,3
user_012,2024-09-01 13:38:00,Android,保存試算結果,保存與分享試算結果,Direct,CPC,17,0,2
user_034,2024-09-01 13:40:00,Web,進入首頁,立即投保,Email,Referral,120,0,0
user_039,2024-09-01 13:42:00,Web,瀏覽商品頁,完成網路投保,Email,CPC,28,1,1
user_036,2024-09-01 13:44:00,Android,保存試算結果,商品資訊頁,Email,Organic,118,1,0
user_027,2024-09-01 13:46:00,Web,點擊優惠,試算壽險方案,Direct,Referral,99,0,0
user_001,2024-09-01 13:48:00,Android,進入試算,立即投保,Google,Organic,9,0,0
user_049,2024-09-01 13:50:00,Web,保存試算結果,好康優惠,Facebook,Referral,15,0,2
user_031,2024-09-01 13:52:00,Android,立即投保,好康優惠,Email,CPC,41,1,3
user_008,2024-09-01 13:54:00,iOS,進入試算,其他,Google,Organic,27,0,4
user_021,2024-09-01 13:56:00,Android,完成投保,保存與分享試算結果,Email,Referral,101,0,2
user_010,2024-09-01 13:58:00,Web,完成投保,好康優惠,Google,Referral,120,1,1
user_024,2024-09-01 14:00:00,Android,進入試算,好康優惠,Google,CPC,67,1,5
user_025,2024-09-01 14:02:00,iOS,瀏覽商品頁,立即投保,Facebook,Organic,58,1,3
user_014,2024-09-01 14:04:00,iOS,進入試算,挑選預約顧問,Google,Referral,72,0,5
user_043,2024-09-01 14:06:00,iOS,進入試算,挑選預約顧問,Direct,Organic,120,0,4
user_027,2024-09-01 14:08:00,Android,進入試算,試算壽險方案,Direct,Referral,83,0,1
user_036,2024-09-01 14:10:00,Android,進入首頁,我的保險試算結果,Facebook,Organic,48,1,3
user_018,2024-09-01 14:12:00,Android,完成投保,好康優惠,Email,CPC,77,1,1
user_018,2024-09-01 14:14:00,Android,完成投保,立即投保,Google,CPC,36,1,0
user_044,2024-09-01 14:16:00,Android,進入試算,我的保險試算結果,Google,Organic,20,0,1
user_038,2024-09-01 14:18:00,Web,保存試算結果,好康優惠,Google,Referral,78,1,5
user_007,2024-09-01 14:20:00,Web,進入試算,立即投保,Google,Referral,87,0,0
user_030,2024-09-01 14:22:00,iOS,完成投保,保存與分享試算結果,Facebook,Referral,74,0,3
user_033,2024-09-01 14:24:00,Android,保存試算結果,挑選預約顧問,Facebook,Organic,27,0,0
user_031,2024-09-01 14:26:00,Web,檢視試算結果,挑選預約顧問,Direct,CPC,7,1,3
user_035,2024-09-01 14:28:00,Web,預約顧問,完成網路投保,Email,CPC,69,0,1
user_014,2024-09-01 14:30:00,Android,立即投保,其他,Email,Organic,15,0,0
user_039,2024-09-01 14:32:00,iOS,瀏覽商品頁,立即投保,Google,Organic,28,0,5
user_013,2024-09-01 14:34:00,Web,保存試算結果,挑選預約顧問,Email,Referral,58,0,4
user_028,2024-09-01 14:36:00,Web,點擊優惠,挑選預約顧問,Direct,Referral,61,0,2
user_037,2024-09-01 14:38:00,iOS,進入首頁,保存與分享試算結果,Email,Referral,18,1,4
user_017,2024-09-01 14:40:00,Android,進入首頁,我的保險試算結果,Facebook,Referral,12,1,2
user_041,2024-09-01 14:42:00,Web,立即投保,試算壽險方案,Direct,Referral,99,0,5
user_032,2024-09-01 14:44:00,Android,瀏覽商品頁,保存與分享試算結果,Google,CPC,17,0,1
user_018,2024-09-01 14:46:00,iOS,保存試算結果,立即投保,Email,CPC,65,1,0
user_039,2024-09-01 14:48:00,Android,進入首頁,好康優惠,Direct,Referral,75,1,4
user_032,2024-09-01 14:50:00,Android,點擊優惠,保存與分享試算結果,Facebook,Referral,103,0,0
user_045,2024-09-01 14:52:00,Web,完成投保,試算壽險方案,Google,Organic,112,0,5
user_024,2024-09-01 14:54:00,iOS,點擊優惠,商品資訊頁,Direct,CPC,50,0,4
user_043,2024-09-01 14:56:00,Web,點擊優惠,其他,Google,CPC,77,1,3
user_038,2024-09-01 14:58:00,Android,檢視試算結果,其他,Facebook,Organic,32,0,1
user_050,2024-09-01 15:00:00,Android,瀏覽商品頁,好康優惠,Direct,Organic,66,1,5
user_011,2024-09-01 15:02:00,Web,瀏覽商品頁,商品資訊頁,Google,CPC,68,1,5
user_022,2024-09-01 15:04:00,iOS,完成投保,保存與分享試算結果,Direct,Organic,41,0,2
user_005,2024-09-01 15:06:00,Android,保存試算結果,保存與分享試算結果,Direct,Organic,69,0,0
user_016,2024-09-01 15:08:00,Web,進入試算,試算壽險方案,Email,CPC,50,1,0
user_008,2024-09-01 15:10:00,Web,進入首頁,其他,Google,Referral,110,1,4
user_045,2024-09-01 15:12:00,iOS,進入首頁,我的保險試算結果,Facebook,Organic,29,1,2
user_032,2024-09-01 15:14:00,Web,瀏覽商品頁,試算壽險方案,Google,Organic,70,1,1
user_031,2024-09-01 15:16:00,Android,保存試算結果,其他,Email,Organic,46,1,1
user_027,2024-09-01 15:18:00,iOS,進入首頁,保存與分享試算結果,Direct,Referral,61,1,4
user_015,2024-09-01 15:20:00,Android,瀏覽商品頁,其他,Email,Organic,7,1,4
user_049,2024-09-01 15:22:00,Android,瀏覽商品頁,試算壽險方案,Google,CPC,9,0,5
user_044,2024-09-01 15:24:00,Web,保存試算結果,試算壽險方案,Email,Referral,27,1,4
user_029,2024-09-01 15:26:00,Web,保存試算結果,挑選預約顧問,Facebook,CPC,105,0,2
user_031,2024-09-01 15:28:00,iOS,檢視試算結果,商品資訊頁,Direct,CPC,85,0,2
user_018,2024-09-01 15:30:00,iOS,瀏覽商品頁,好康優惠,Google,CPC,83,0,5
user_021,2024-09-01 15:32:00,iOS,進入試算,立即投保,Facebook,Referral,13,1,4
user_046,2024-09-01 15:34:00,Web,進入試算,商品資訊頁,Facebook,CPC,39,1,3
user_002,2024-09-01 15:36:00,Android,進入首頁,其他,Direct,Referral,21,1,2
user_012,2024-09-01 15:38:00,Android,瀏覽商品頁,試算壽險方案,Direct,Referral,119,0,0
user_039,2024-09-01 15:40:00,Android,完成投保,好康優惠,Email,Referral,44,1,1
user_010,2024-09-01 15:42:00,Web,完成投保,完成網路投保,Facebook,Referral,50,1,1
user_027,2024-09-01 15:44:00,iOS,完成投保,試算壽險方案,Direct,Organic,31,0,3
user_013,2024-09-01 15:46:00,Android,預約顧問,好康優惠,Email,Organic,68,0,0
user_006,2024-09-01 15:48:00,Android,進入試算,保存與分享試算結果,Google,CPC,34,1,5
user_044,2024-09-01 15:50:00,Android,點擊優惠,完成網路投保,Facebook,Referral,94,0,3
user_036,2024-09-01 15:52:00,Web,瀏覽商品頁,完成網路投保,Google,CPC,76,0,5
user_013,2024-09-01 15:54:00,Web,瀏覽商品頁,立即投保,Facebook,Organic,53,1,4
user_029,2024-09-01 15:56:00,iOS,瀏覽商品頁,好康優惠,Google,Organic,30,0,1
user_003,2024-09-01 15:58:00,Web,立即投保,商品資訊頁,Email,CPC,37,0,1
user_021,2024-09-01 16:00:00,Web,檢視試算結果,我的保險試算結果,Google,Referral,73,0,2
user_015,2024-09-01 16:02:00,Android,完成投保,商品資訊頁,Facebook,Organic,108,0,0
user_003,2024-09-01 16:04:00,Web,檢視試算結果,保存與分享試算結果,Facebook,Referral,15,1,3
user_023,2024-09-01 16:06:00,Web,進入首頁,好康優惠,Facebook,CPC,75,1,1
user_044,2024-09-01 16:08:00,iOS,預約顧問,保存與分享試算結果,Email,Referral,96,1,4
user_001,2024-09-01 16:10:00,Web,保存試算結果,保存與分享試算結果,Email,CPC,111,0,2
user_035,2024-09-01 16:12:00,Web,保存試算結果,保存與分享試算結果,Google,Referral,53,1,0
user_017,2024-09-01 16:14:00,Web,進入試算,商品資訊頁,Facebook,CPC,87,0,5
user_031,2024-09-01 16:16:00,iOS,進入首頁,試算壽險方案,Direct,Referral,70,1,3
user_002,2024-09-01 16:18:00,Android,點擊優惠,試算壽險方案,Email,Referral,96,1,3
user_025,2024-09-01 16:20:00,Web,檢視試算結果,試算壽險方案,Direct,Referral,90,0,3
user_034,2024-09-01 16:22:00,Android,瀏覽商品頁,立即投保,Google,Organic,102,1,5
user_039,2024-09-01 16:24:00,Web,進入試算,商品資訊頁,Email,Referral,105,0,3
user_013,2024-09-01 16:26:00,Android,保存試算結果,完成網路投保,Direct,CPC,60,1,0
user_015,2024-09-01 16:28:00,Web,檢視試算結果,其他,Email,Referral,76,1,5
user_017,2024-09-01 16:30:00,Web,進入首頁,試算壽險方案,Facebook,Organic,54,1,4
user_020,2024-09-01 16:32:00,Android,瀏覽商品頁,立即投保,Facebook,CPC,19,0,0
user_023,2024-09-01 16:34:00,Web,完成投保,試算壽險方案,Google,CPC,37,1,5
user_036,2024-09-01 16:36:00,iOS,點擊優惠,挑選預約顧問,Direct,CPC,78,1,1
user_032,2024-09-01 16:38:00,Android,進入試算,其他,Facebook,Referral,26,1,3
user_024,2024-09-01 16:40:00,Web,進入首頁,挑選預約顧問,Google,Referral,31,1,0
user_024,2024-09-01 16:42:00,iOS,進入首頁,保存與分享試算結果,Google,CPC,71,1,2
user_037,2024-09-01 16:44:00,iOS,瀏覽商品頁,保存與分享試算結果,Facebook,Organic,74,0,3
user_019,2024-09-01 16:46:00,Android,保存試算結果,立即投保,Google,Organic,15,1,5
user_038,2024-09-01 16:48:00,Android,立即投保,試算壽險方案,Direct,CPC,88,1,1
user_009,2024-09-01 16:50:00,iOS,點擊優惠,保存與分享試算結果,Google,Organic,80,0,2
user_023,2024-09-01 16:52:00,Web,進入試算,完成網路投保,Google,CPC,112,1,3
user_045,2024-09-01 16:54:00,iOS,點擊優惠,完成網路投保,Google,Referral,11,1,2
user_022,2024-09-01 16:56:00,iOS,瀏覽商品頁,好康優惠,Google,CPC,46,0,5
user_036,2024-09-01 16:58:00,iOS,立即投保,挑選預約顧問,Email,Referral,52,1,1
user_045,2024-09-01 17:00:00,Android,預約顧問,其他,Facebook,Organic,38,1,5
user_012,2024-09-01 17:02:00,iOS,預約顧問,我的保險試算結果,Direct,Organic,95,1,3
user_011,2024-09-01 17:04:00,iOS,立即投保,好康優惠,Facebook,CPC,42,1,1
user_050,2024-09-01 17:06:00,Android,進入試算,試算壽險方案,Google,Organic,76,1,0
user_042,2024-09-01 17:08:00,iOS,預約顧問,完成網路投保,Google,CPC,26,1,3
user_031,2024-09-01 17:10:00,iOS,立即投保,好康優惠,Direct,Organic,39,0,1
user_008,2024-09-01 17:12:00,Android,進入首頁,我的保險試算結果,Email,Referral,91,0,3
user_003,2024-09-01 17:14:00,Android,立即投保,試算壽險方案,Email,Organic,18,1,4
user_032,2024-09-01 17:16:00,Web,進入首頁,保存與分享試算結果,Direct,CPC,45,0,1
user_020,2024-09-01 17:18:00,iOS,瀏覽商品頁,立即投保,Facebook,Organic,47,1,3
user_034,2024-09-01 17:20:00,Android,檢視試算結果,保存與分享試算結果,Email,Referral,19,0,2
user_034,2024-09-01 17:22:00,Web,進入試算,保存與分享試算結果,Google,Organic,82,0,1
user_021,2024-09-01 17:24:00,Android,保存試算結果,其他,Google,Referral,45,0,5
user_009,2024-09-01 17:26:00,Android,進入首頁,挑選預約顧問,Email,Referral,28,0,0
user_035,2024-09-01 17:28:00,Web,保存試算結果,我的保險試算結果,Google,CPC,55,0,5
user_038,2024-09-01 17:30:00,Web,預約顧問,保存與分享試算結果,Google,Referral,12,0,3
user_024,2024-09-01 17:32:00,Android,點擊優惠,其他,Email,Referral,96,1,1
user_036,2024-09-01 17:34:00,Android,完成投保,商品資訊頁,Direct,Referral,48,0,1
user_025,2024-09-01 17:36:00,Web,立即投保,商品資訊頁,Email,Referral,117,1,3
user_012,2024-09-01 17:38:00,Android,檢視試算結果,我的保險試算結果,Google,Referral,91,1,1
user_043,2024-09-01 17:40:00,Android,保存試算結果,保存與分享試算結果,Email,Referral,51,1,3
user_012,2024-09-01 17:42:00,Web,保存試算結果,試算壽險方案,Direct,CPC,90,1,0
user_017,2024-09-01 17:44:00,iOS,保存試算結果,試算壽險方案,Google,Referral,59,0,4
user_025,2024-09-01 17:46:00,Android,進入首頁,其他,Email,CPC,72,1,5
user_025,2024-09-01 17:48:00,Android,點擊優惠,好康優惠,Google,CPC,38,1,3
user_023,2024-09-01 17:50:00,Android,預約顧問,我的保險試算結果,Facebook,CPC,113,0,0
user_042,2024-09-01 17:52:00,Web,預約顧問,好康優惠,Facebook,CPC,108,1,4
user_040,2024-09-01 17:54:00,Android,進入試算,其他,Google,Organic,91,0,5
user_043,2024-09-01 17:56:00,Android,瀏覽商品頁,好康優惠,Facebook,Organic,84,1,2
user_038,2024-09-01 17:58:00,iOS,點擊優惠,好康優惠,Google,Organic,39,0,4
user_036,2024-09-01 18:00:00,iOS,檢視試算結果,試算壽險方案,Email,Organic,98,1,0
user_016,2024-09-01 18:02:00,Web,進入試算,挑選預約顧問,Direct,CPC,51,1,0
user_009,2024-09-01 18:04:00,Web,瀏覽商品頁,保存與分享試算結果,Google,CPC,84,1,5
user_049,2024-09-01 18:06:00,iOS,檢視試算結果,保存與分享試算結果,Direct,Referral,11,1,2
user_019,2024-09-01 18:08:00,Web,點擊優惠,其他,Direct,Referral,87,0,2
user_015,2024-09-01 18:10:00,Android,保存試算結果,完成網路投保,Facebook,Organic,16,0,0
user_008,2024-09-01 18:12:00,iOS,點擊優惠,試算壽險方案,Direct,Referral,27,0,0
user_003,2024-09-01 18:14:00,Android,保存試算結果,其他,Facebook,Referral,63,1,1
user_015,2024-09-01 18:16:00,Web,進入首頁,保存與分享試算結果,Google,Referral,35,1,0
user_042,2024-09-01 18:18:00,Android,完成投保,我的保險試算結果,Direct,Referral,95,1,0
user_029,2024-09-01 18:20:00,iOS,瀏覽商品頁,完成網路投保,Google,Organic,57,1,2
user_021,2024-09-01 18:22:00,iOS,保存試算結果,完成網路投保,Email,Referral,40,0,2
user_045,2024-09-01 18:24:00,Android,完成投保,我的保險試算結果,Email,Referral,115,1,5
user_013,2024-09-01 18:26:00,iOS,進入首頁,我的保險試算結果,Google,CPC,70,1,2
user_044,2024-09-01 18:28:00,Android,預約顧問,商品資訊頁,Google,CPC,11,1,0
user_008,2024-09-01 18:30:00,Web,立即投保,立即投保,Email,CPC,68,1,2
user_009,2024-09-01 18:32:00,Web,預約顧問,商品資訊頁,Direct,CPC,81,1,2
user_033,2024-09-01 18:34:00,Android,進入試算,完成網路投保,Google,CPC,29,0,1
user_046,2024-09-01 18:36:00,Android,進入首頁,立即投保,Facebook,Organic,102,0,3
user_037,2024-09-01 18:38:00,Android,保存試算結果,其他,Email,CPC,112,1,2
user_013,2024-09-01 18:40:00,Web,預約顧問,保存與分享試算結果,Email,Referral,12,0,1
user_022,2024-09-01 18:42:00,Android,瀏覽商品頁,挑選預約顧問,Google,Referral,44,0,4
user_020,2024-09-01 18:44:00,Web,保存試算結果,我的保險試算結果,Facebook,Referral,119,1,0
user_039,2024-09-01 18:46:00,Android,檢視試算結果,我的保險試算結果,Direct,Referral,45,0,2
user_046,2024-09-01 18:48:00,Android,點擊優惠,好康優惠,Email,CPC,68,1,4
user_050,2024-09-01 18:50:00,Web,保存試算結果,立即投保,Google,Organic,29,1,5
user_023,2024-09-01 18:52:00,Web,檢視試算結果,商品資訊頁,Facebook,CPC,78,1,0
user_045,2024-09-01 18:54:00,iOS,進入試算,立即投保,Direct,CPC,47,0,2
user_009,2024-09-01 18:56:00,iOS,點擊優惠,好康優惠,Direct,CPC,117,1,4
user_026,2024-09-01 18:58:00,Web,立即投保,立即投保,Email,Organic,37,0,1
user_005,2024-09-01 19:00:00,iOS,瀏覽商品頁,挑選預約顧問,Direct,Organic,7,0,1
user_050,2024-09-01 19:02:00,iOS,保存試算結果,我的保險試算結果,Direct,Organic,26,0,5
user_033,2024-09-01 19:04:00,Android,立即投保,挑選預約顧問,Facebook,Referral,23,0,4
user_009,2024-09-01 19:06:00,Android,檢視試算結果,完成網路投保,Google,Referral,43,1,3
user_043,2024-09-01 19:08:00,Web,點擊優惠,其他,Facebook,CPC,43,0,2
user_003,2024-09-01 19:10:00,Android,瀏覽商品頁,我的保險試算結果,Facebook,Referral,53,0,2
user_008,2024-09-01 19:12:00,Android,檢視試算結果,保存與分享試算結果,Google,CPC,111,1,2
user_046,2024-09-01 19:14:00,Web,瀏覽商品頁,其他,Facebook,CPC,75,0,2
user_043,2024-09-01 19:16:00,Web,瀏覽商品頁,挑選預約顧問,Direct,Referral,91,1,1
user_024,2024-09-01 19:18:00,Web,進入試算,其他,Email,Referral,118,0,5
user_018,2024-09-01 19:20:00,iOS,保存試算結果,挑選預約顧問,Facebook,Referral,17,0,4
user_027,2024-09-01 19:22:00,iOS,立即投保,保存與分享試算結果,Google,Organic,99,0,0
user_002,2024-09-01 19:24:00,iOS,完成投保,我的保險試算結果,Direct,CPC,7,0,2
user_039,2024-09-01 19:26:00,iOS,完成投保,保存與分享試算結果,Facebook,Referral,18,1,3
user_012,2024-09-01 19:28:00,iOS,保存試算結果,其他,Direct,Organic,25,0,0
user_044,2024-09-01 19:30:00,Web,點擊優惠,保存與分享試算結果,Facebook,CPC,90,0,0
user_008,2024-09-01 19:32:00,Android,進入試算,好康優惠,Facebook,Organic,50,0,5
user_039,2024-09-01 19:34:00,Web,預約顧問,立即投保,Direct,CPC,16,1,3
user_040,2024-09-01 19:36:00,Android,立即投保,我的保險試算結果,Email,Referral,43,0,3
user_025,2024-09-01 19:38:00,iOS,檢視試算結果,挑選預約顧問,Email,Referral,10,1,3
